song_title,href_title,song_duration,kbps
Bobby Helms | Jingle Bell Rock (Single Version),/info?id=51053315,02:12,320Kbps
"Etta James, Riley Hampton, Riley Hampton Orchestra | At Last (Single Version)",/info?id=47940657,02:59,320Kbps
Kenny G | Forever in Love,/info?id=48102926,04:59,320Kbps
Sade | Smooth Operator (Single Version),/info?id=47924139,04:18,320Kbps
Bobby McFerrin | Don't Worry Be Happy,/info?id=47980580,04:54,320Kbps
"Frank Sinatra, Charles Aznavour | Night and Day (Remastered)",/info?id=48312387,03:39,320Kbps
"Flies on the Square Egg, Tune Robbers, Lounge Café, DJ In The Night, Brazilian Lounge Project, Luxury Lounge Masters, Groove Counsellors, Buddha DJ’s | So Nice (Summer Samba) (Summer Samba)",/info?id=47968967,03:29,320Kbps
"Ray Charles, Johnny Burke | Black Coffee (Remastered)",/info?id=47929707,05:46,320Kbps
"Louis Armstrong, Louis Armstrong And His Orchestra, Tommy Goodman | What A Wonderful World (Single Version)",/info?id=47937264,02:18,320Kbps
Sade | Jezebel,/info?id=47924141,05:28,320Kbps
Melody Gardot | If You Love Me,/info?id=71361075,04:34,320Kbps
"Deep Forest, Ambar Das | Bihu",/info?id=48697772,04:45,320Kbps
"Nina Simone, Horace Ott | Don't Let Me Be Misunderstood (Album Version/Stereo)",/info?id=47937428,02:46,320Kbps
Kenny G | Havana,/info?id=47938604,07:22,320Kbps
"Frank Sinatra, Fats Domino | The Fat Man",/info?id=55274927,02:38,192Kbps
Sade | Kiss of Life,/info?id=47924161,04:10,320Kbps
"Nat King Cole, Natalie Cole, Bob Krogstad | The Christmas Song (1999 - Remaster)",/info?id=47976233,03:43,320Kbps
"Louis Armstrong, Louis Armstrong And The All-Stars | Hello, Dolly!",/info?id=47937173,02:24,320Kbps
"Frank Sinatra, Fats Domino | I'm Walking (Remastered)",/info?id=48782102,02:12,320Kbps
Vince Guaraldi Trio | Christmas Time Is Here (Vocal - Album Version),/info?id=47970100,02:43,320Kbps
"Fresh Beat MCs, 60's 70's 80's 90's Hits, 70's, 80's & 90's Pop Divas, 60's, 90s Dance Music | Gangsta's Paradise (Saidi Medley)",/info?id=55084082,03:52,192Kbps
Imelda May | Love Tattoo,/info?id=48692422,02:55,320Kbps
Sade | Is It a Crime,/info?id=47924146,06:21,320Kbps
Imelda May | Falling In Love With You Again,/info?id=48076343,04:07,320Kbps
"Dave Stewart, David A. Stewart, David A. Stewart feat. Candy Dulfer | Lily Was Here (DNA Remix)",/info?id=48063732,04:27,320Kbps
"Dave Stewart, David A. Stewart, David A. Stewart & Candy Dulfer, David A. Stewart feat. Candy Dulfer | Lily Was Here",/info?id=47962935,04:20,320Kbps
Brenda Lee | Rockin' Around The Christmas Tree (Single Version),/info?id=48707543,02:04,320Kbps
"Nina Simone, Hal Mooney | Feeling Good (из фильма «1+1»)",/info?id=47937471,02:54,320Kbps
Kenny G | Don't Make Me Wait for Love,/info?id=48102909,04:05,320Kbps
"Пианино, Классическое Пианино, Расслабляющая Музыка Пианино, Фоновое Пианино | Инструментальное Фортепиано",/info?id=79249329,02:00,320Kbps
